Type,Distribution Channel,Invoice Number,Year,Month,Date,Representative ,Customer Category,Customer Activity,Customer,Product Group,Product,Customer Grade,Discounts and Promotions(IRR),Volume,Value(IRR)
برگشت فروش,آنلاین,31.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Polo-EDT-Prestige,بورلي هيلز پولو کلاب ادوپرفيوم الگانس 100ميل زنانه,B,0,-15,-274980000
برگشت فروش,آنلاین,31.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Polo-EDT-Prestige,بورلي هيلز پولو کلاب ادوپرفيوم پشن 100 ميل زنانه,B,0,-15,-274980000
برگشت فروش,آنلاین,32.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Polo-EDT-Prestige,بورلي هيلز پولو کلاب ادوپرفيوم تروفي 100 ميل مردانه,B,0,-2,-36664000
برگشت فروش,آنلاین,32.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Polo-EDT-Prestige,بورلي هيلز پولو کلاب ادوپرفيوم تور 100 ميل مردانه,B,0,-6,-109992000
برگشت فروش,آنلاین,32.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Polo-EDT-Prestige,بورلي هيلز پولو کلاب ادوپرفيوم تيتان 100 ميل مردانه,B,0,-6,-109992000
برگشت فروش,آنلاین,32.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Polo-EDT-Prestige,بورلي هيلز پولو کلاب ادوپرفيوم چلنج 100 ميل زنانه,B,0,-4,-73328000
برگشت فروش,آنلاین,32.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Polo-EDT-Prestige,بورلي هيلز پولو کلاب ادوپرفيوم ميستيک 100 ميل زنانه,B,0,-4,-73328000
برگشت فروش,آنلاین,32.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Polo-EDT-Mastige 100,بورلي هيلز پولو کلاب ادوپرفيوم نامبر ايت 100 ميل زنانه,B,0,-3,-16512000
برگشت فروش,آنلاین,31.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Polo-EDT-Mastige 50,بورلي هيلز پولو کلاب ادوپرفيوم نامبر ايت 50 ميل زنانه,B,0,-12,-52848000
برگشت فروش,آنلاین,32.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Polo-EDT-Mastige 100,بورلي هيلز پولو کلاب ادوپرفيوم نامبر تو 100 ميل زنانه,B,0,-6,-33024000
برگشت فروش,آنلاین,31.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Polo-EDT-Mastige 50,بورلي هيلز پولو کلاب ادوپرفيوم نامبر تو 50 ميل زنانه,B,0,-13,-57252000
برگشت فروش,آنلاین,32.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Polo-EDT-Mastige 100,بورلي هيلز پولو کلاب ادوپرفيوم نامبر ناين 100 ميل زنانه,B,0,-8,-44032000
برگشت فروش,آنلاین,31.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Polo-EDT-Mastige 50,بورلي هيلز پولو کلاب ادوپرفيوم نامبر ناين 50 ميل زنانه,B,0,-11,-48444000
برگشت فروش,آنلاین,31.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Polo-EDT-Mastige 100,بورلي هيلز پولو کلاب ادوپرفيوم نامبر وان 100 ميل زنانه,B,0,-18,-99072000
برگشت فروش,آنلاین,10.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Polo-EDT-Mastige 100,بورلي هيلز پولو کلاب ادوپرفيوم نامبر وان 100 ميل زنانه,B,0,-4,-22016000
برگشت فروش,آنلاین,9.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Polo-EDT-Mastige 50,بورلي هيلز پولو کلاب ادوپرفيوم نامبر وان 50 ميل زنانه,B,0,-23,-101292000
برگشت فروش,آنلاین,15.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Polo-EDT-Prestige,بورلي هيلز پولو کلاب ادوپرفيوم هريتج عود 100 ميل مردانه,B,0,-21,-384972000
برگشت فروش,آنلاین,32.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Polo-EDT-Mastige 100,بورلي هيلز پولو کلاب ادوتوالت نامبر ايت 100 ميل مردانه,B,0,-12,-66048000
برگشت فروش,آنلاین,32.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Polo-EDT-Mastige 100,بورلي هيلز پولو کلاب ادوتوالت نامبر تو 100 ميل مردانه,B,0,-24,-132096000
برگشت فروش,آنلاین,28.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Polo-EDT-Mastige 100,بورلي هيلز پولو کلاب ادوتوالت نامبر ناين 100 ميل مردانه,B,0,-38,-209152000
برگشت فروش,آنلاین,27.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Polo-EDT-Mastige 100,بورلي هيلز پولو کلاب ادوتوالت نامبر ناين 100 ميل مردانه,B,0,-19,-104576000
برگشت فروش,آنلاین,32.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Polo-EDT-Mastige 100,بورلي هيلز پولو کلاب ادوتوالت نامبر ناين 100 ميل مردانه,B,0,-6,-33024000
برگشت فروش,آنلاین,32.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Other,بورلي هيلز پولو کلاب پروموپک نامبر تو زنانه,B,0,-6,-26424000
برگشت فروش,آنلاین,32.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Other,بورلي هيلز پولو کلاب پروموپک نامبر ناين زنانه,B,0,-7,-30828000
برگشت فروش,آنلاین,32.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Other,بورلي هيلز پولو کلاب پروموپک نامبر وان زنانه,B,0,-1,-4404000
برگشت فروش,آنلاین,31.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Polo-EDT-DEO,بورلي هيلز پولو کلاب دئودورانت نامبر ايت 150ميل زنانه,B,0,-32,-28108416
برگشت فروش,آنلاین,29.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Polo-EDT-DEO,بورلي هيلز پولو کلاب دئودورانت نامبر ايت 175 ميل مردانه,B,0,-2,-1848586
برگشت فروش,آنلاین,30.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Polo-EDT-DEO,بورلي هيلز پولو کلاب دئودورانت نامبر ايت 175 ميل مردانه,B,0,-1,-924293
برگشت فروش,آنلاین,31.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Polo-EDT-DEO,بورلي هيلز پولو کلاب دئودورانت نامبر تو 150ميل زنانه,B,0,-15,-13175820
برگشت فروش,آنلاین,18.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Trisa-Toothbrush,تريزا براش بين دنداني پروفشنال 0.9 ميليمتري سبز ايزو دو,B,-330000,-1,-920000
برگشت فروش,آنلاین,13.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Trisa-Toothbrush,تريزا مسواک ارتودنسي,B,0,-8,-6880000
برگشت فروش,آنلاین,14.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Trisa-Toothbrush,تريزا مسواک ارتودنسي,B,0,-4,-3440000
برگشت فروش,آنلاین,11.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Trisa-Toothbrush,تريزا مسواک ارتودنسي,B,0,-2,-1720000
برگشت فروش,آنلاین,12.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Trisa-Toothbrush,تريزا مسواک ارتودنسي,B,0,-2,-1720000
برگشت فروش,آنلاین,31.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Trisa-Toothbrush,تريزا مسواک اکتيوکر نرم,B,0,-37,-31968000
برگشت فروش,آنلاین,17.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Trisa-Toothbrush,تريزا مسواک اکسترا پرو وايتال نرم دو تايي,B,-21998000,-17,-21998000
برگشت فروش,آنلاین,21.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Trisa-Toothbrush,تريزا مسواک اکسترا پروکلين متوسط  دو تايي,B,-11975000,-10,-11975000
برگشت فروش,آنلاین,21.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Trisa-Toothbrush,تريزا مسواک اکسترا پروکلين نرم دو تايي,B,-59875000,-50,-59875000
برگشت فروش,آنلاین,20.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Trisa-Toothbrush,تريزا مسواک اکسترا وايت متوسط,B,0,-1,-961000
برگشت فروش,آنلاین,33.0,1403,فروردین,1403/01/28,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Trisa-Toothbrush,تريزا مسواک پرفکت وايت نرم دو تايي,B,-1477700,-2,-2744300
برگشت فروش,آنلاین,21.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Trisa-Toothbrush,تريزا مسواک پرل وايت متوسط دو تايي,B,-2049250,-7,-6147750
برگشت فروش,آنلاین,21.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Trisa-Toothbrush,تريزا مسواک پرل وايت نرم دو تايي,B,-585500,-2,-1756500
برگشت فروش,آنلاین,31.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Trisa-Toothbrush,تريزا مسواک پرو اينتردنتال نرم با محافظ,B,0,-6,-6246000
برگشت فروش,آنلاین,31.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Trisa-Toothbrush,تريزا مسواک فلکسيبل نرم دو تايي,B,-11618500,-38,-34855500
برگشت فروش,آنلاین,16.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Trisa-Toothbrush,تريزا مسواک فلکسيبل نرم دو تايي,B,-7338000,-24,-22014000
برگشت فروش,آنلاین,26.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Trisa-Toothbrush,تريزا مسواک فلکسيبل هد سخت با محافظ,B,-2052864,-9,-5723136
برگشت فروش,آنلاین,24.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Trisa-Toothbrush,تريزا مسواک فلکسيبل هد سخت با محافظ,B,0,-2,-1728000
برگشت فروش,آنلاین,25.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Trisa-Toothbrush,تريزا مسواک فلکسيبل هد سخت با محافظ,B,0,-2,-1728000
برگشت فروش,آنلاین,22.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Trisa-Toothbrush,تريزا مسواک فلکسيبل هد متوسط  با محافظ,B,-69120,-1,-794880
برگشت فروش,آنلاین,23.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Trisa-Toothbrush,تريزا مسواک فلکسيبل هد نرم با محافظ,B,0,-1,-864000
برگشت فروش,آنلاین,21.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Trisa-Toothbrush,تريزا مسواک فلکسيبل هد نرم دو تايي,B,-2156250,-5,-6468750
برگشت فروش,آنلاین,21.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Trisa-Toothbrush,تريزا مسواک فلکسيبل هد نرم سه تايي,B,-1785700,-2,-3316300
برگشت فروش,آنلاین,21.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Trisa-Toothbrush,تريزا مسواک فلکسيبل وايت متوسط  دو تايي,B,-6900000,-16,-20700000
برگشت فروش,آنلاین,21.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Trisa-Toothbrush,تريزا مسواک فلکسيبل وايت نرم  دو تايي,B,-10350000,-24,-31050000
برگشت فروش,آنلاین,31.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Trisa-Toothbrush,تريزا مسواک فوکوس پروکلين نرم دو تايي,B,-9628500,-42,-28885500
برگشت فروش,آنلاین,21.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Trisa-Toothbrush,تريزا مسواک فيل گود اسمارت کلين متوسط دوتايي,B,-14414400,-24,-26769600
برگشت فروش,آنلاین,31.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Trisa-Toothbrush,تريزا مسواک فيل گود اسمارت کلين نرم,B,0,-47,-40467000
برگشت فروش,آنلاین,31.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Trisa-Toothbrush,تريزا مسواک وي کر متوسط  دو تايي,B,-10355000,-38,-31065000
برگشت فروش,آنلاین,31.0,1403,فروردین,1403/01/27,پريسا فرهمند,فروشگاه هاي آنلاين,بازارگاه,شرکت نوآوران فن آوازه   ديجي کالا,Trisa-Toothbrush,تريزا مسواک وي کر نرم,B,0,-50,-27100000
برگشت فروش,آنلاین,65.0,1403,اردیبهشت,1403/02/11,پريسا فرهمند,فروشگاه هاي آنلاين,خرده فروشي آنلاين,کارآفرينان بلند آوازه سرزمين پارس,Trisa-Toothbrush,تريزا مسواک پروفيلاک کامپليت متوسط با آينه,A,0,-1,-1401200
برگشت فروش,آنلاین,86.0,1403,خرداد,1403/03/20,پريسا فرهمند,فروشگاه هاي آنلاين,خرده فروشي آنلاين,مجيد  وزيري راد - VIP,Polo-EDT-Prestige,بورلي هيلز پولو کلاب ادوپرفيوم الگانس 100ميل زنانه,A,0,-12,-162000000
برگشت فروش,آنلاین,86.0,1403,خرداد,1403/03/20,پريسا فرهمند,فروشگاه هاي آنلاين,خرده فروشي آنلاين,مجيد  وزيري راد - VIP,Polo-EDT-Prestige,بورلي هيلز پولو کلاب ادوپرفيوم پشن 100 ميل زنانه,A,0,-24,-324000000
برگشت فروش,آنلاین,86.0,1403,خرداد,1403/03/20,پريسا فرهمند,فروشگاه هاي آنلاين,خرده فروشي آنلاين,مجيد  وزيري راد - VIP,Polo-EDT-Prestige,بورلي هيلز پولو کلاب ادوپرفيوم تور 100 ميل مردانه,A,0,-36,-486000000
برگشت فروش,آنلاین,86.0,1403,خرداد,1403/03/20,پريسا فرهمند,فروشگاه هاي آنلاين,خرده فروشي آنلاين,مجيد  وزيري راد - VIP,Polo-EDT-Prestige,بورلي هيلز پولو کلاب تستر ادوپرفيوم الگانس 100 ميل,A,0,-2,-2
برگشت فروش,آنلاین,86.0,1403,خرداد,1403/03/20,پريسا فرهمند,فروشگاه هاي آنلاين,خرده فروشي آنلاين,مجيد  وزيري راد - VIP,Polo-EDT-Prestige,بورلي هيلز پولو کلاب تستر ادوپرفيوم پشن 100 ميل زنانه,A,0,-2,-2
برگشت فروش,آنلاین,86.0,1403,خرداد,1403/03/20,پريسا فرهمند,فروشگاه هاي آنلاين,خرده فروشي آنلاين,مجيد  وزيري راد - VIP,Polo-EDT-Prestige,بورلي هيلز پولو کلاب تستر ادوپرفيوم تور 100 ميل مردانه,A,0,-2,-2
برگشت فروش,آنلاین,141.0,1403,تیر,1403/04/31,پريسا فرهمند,فروشگاه هاي آنلاين,خرده فروشي آنلاين,آرياس روژان,Valera-2,ولرا فرکننده مو آيونيک پروفشنال مولتي استايل مدل 640.01,A+,-1730400,-1,-32877600
برگشت فروش,آنلاین,232.0,1403,مرداد,1403/05/24,پريسا فرهمند,فروشگاه هاي آنلاين,خرده فروشي آنلاين,آرياس روژان,Valera-2,ولرا فرکننده مو آيونيک پروفشنال مولتي استايل مدل 640.01,A+,-1730400,-1,-32877600
فروش,آنلاین,1277.0,1403,اردیبهشت,1403/02/30,جواد شاه مرادي,فروشگاه هاي آنلاين,خرده فروشي آنلاين,مجيد  وزيري راد - VIP,Polo-EDT-Prestige,بورلي هيلز پولو کلاب ادوپرفيوم الگانس 100ميل زنانه,A,0,12,278184000
فروش,آنلاین,1277.0,1403,اردیبهشت,1403/02/30,جواد شاه مرادي,فروشگاه هاي آنلاين,خرده فروشي آنلاين,مجيد  وزيري راد - VIP,Polo-EDT-Prestige,بورلي هيلز پولو کلاب ادوپرفيوم پشن 100 ميل زنانه,A,0,24,556368000
فروش,آنلاین,1277.0,1403,اردیبهشت,1403/02/30,جواد شاه مرادي,فروشگاه هاي آنلاين,خرده فروشي آنلاين,مجيد  وزيري راد - VIP,Polo-EDT-Prestige,بورلي هيلز پولو کلاب ادوپرفيوم تور 100 ميل مردانه,A,0,36,834552000
فروش,آنلاین,11521.0,1403,آذر,1403/09/20,راضيه خان محمدي زرندي,فروشگاه هاي آنلاين,خرده فروشي آنلاين,تجارت خلاق هدف,Elchim-2,الشيم حالت دهنده مو اسپرينگ کرلينگ آيرون (mm 19),A+,1006510,1,32543854
برگشت فروش,آنلاین,389.0,1403,آذر,1403/09/18,راضيه خان محمدي زرندي,فروشگاه هاي آنلاين,خرده فروشي آنلاين,تجارت خلاق هدف,Babyliss-3,بابليس پرو اتوي مو اي پي تک 25 ميليمتري مدل BAB2654EPE,A+,0,-1,-22375500
فروش,آنلاین,11399.0,1403,آذر,1403/09/12,راضيه خان محمدي زرندي,فروشگاه هاي آنلاين,خرده فروشي آنلاين,تجارت خلاق هدف,Babyliss-3,بابليس پرو اتوي مو اي پي تک 25 ميليمتري مدل BAB2654EPE,A+,4580289,1,18321156
فروش,آنلاین,11143.0,1403,آذر,1403/09/12,راضيه خان محمدي زرندي,فروشگاه هاي آنلاين,خرده فروشي آنلاين,تجارت خلاق هدف,Babyliss-3,بابليس پرو اتوي مو اي پي تک 25 ميليمتري مدل BAB2654EPE,A+,0,1,22375500
برگشت فروش,آنلاین,390.0,1403,آذر,1403/09/18,راضيه خان محمدي زرندي,فروشگاه هاي آنلاين,خرده فروشي آنلاين,تجارت خلاق هدف,Babyliss-3,بابليس پرو برس حرارتي پروفشنال مدل BAB663E  با برس مويي جمع شونده,A+,0,-1,-12211500
فروش,آنلاین,11401.0,1403,آذر,1403/09/13,راضيه خان محمدي زرندي,فروشگاه هاي آنلاين,خرده فروشي آنلاين,تجارت خلاق هدف,Babyliss-3,بابليس پرو برس حرارتي پروفشنال مدل BAB663E  با برس مويي جمع شونده,A+,374900,1,12121780
فروش,آنلاین,11233.0,1403,آذر,1403/09/13,راضيه خان محمدي زرندي,فروشگاه هاي آنلاين,خرده فروشي آنلاين,تجارت خلاق هدف,Babyliss-3,بابليس پرو برس حرارتي پروفشنال مدل BAB663E  با برس مويي جمع شونده,A+,0,1,12211500
فروش,آنلاین,11422.0,1403,آذر,1403/09/18,راضيه خان محمدي زرندي,فروشگاه هاي آنلاين,خرده فروشي آنلاين,تجارت خلاق هدف,Babyliss-3,بابليس پرو حالت دهنده مو پرو بلو لايتنينگ مدل BAB2620E آبي,A+,2081866,1,18736799
برگشت فروش,آنلاین,387.0,1403,آذر,1403/09/18,راضيه خان محمدي زرندي,فروشگاه هاي آنلاين,خرده فروشي آنلاين,تجارت خلاق هدف,Babyliss-3,بابليس پرو حالت دهنده مو تيتانيومي تورمالين 32 ميليمتري 7000 وات مدل BAB2676TTE,A+,0,-1,-21367500
فروش,آنلاین,11398.0,1403,آذر,1403/09/12,راضيه خان محمدي زرندي,فروشگاه هاي آنلاين,خرده فروشي آنلاين,تجارت خلاق هدف,Babyliss-3,بابليس پرو حالت دهنده مو تيتانيومي تورمالين 32 ميليمتري 7000 وات مدل BAB2676TTE,A+,2186005,1,19674050
فروش,آنلاین,11036.0,1403,آذر,1403/09/10,راضيه خان محمدي زرندي,فروشگاه هاي آنلاين,خرده فروشي آنلاين,تجارت خلاق هدف,Babyliss-3,بابليس پرو حالت دهنده مو تيتانيومي تورمالين 32 ميليمتري 7000 وات مدل BAB2676TTE,A+,0,1,21367500
برگشت فروش,آنلاین,388.0,1403,آذر,1403/09/18,راضيه خان محمدي زرندي,فروشگاه هاي آنلاين,خرده فروشي آنلاين,تجارت خلاق هدف,Babyliss-2,بابليس پرو سشوار ونزيانو اچ کيو آيونيک 2200 وات مدل BAB6960IE,A+,0,-1,-42724500
فروش,آنلاین,11400.0,1403,آذر,1403/09/12,راضيه خان محمدي زرندي,فروشگاه هاي آنلاين,خرده فروشي آنلاين,تجارت خلاق هدف,Babyliss-2,بابليس پرو سشوار ونزيانو اچ کيو آيونيک 2200 وات مدل BAB6960IE,A+,1311877,1,42417368
فروش,آنلاین,11142.0,1403,آذر,1403/09/12,راضيه خان محمدي زرندي,فروشگاه هاي آنلاين,خرده فروشي آنلاين,تجارت خلاق هدف,Babyliss-2,بابليس پرو سشوار ونزيانو اچ کيو آيونيک 2200 وات مدل BAB6960IE,A+,0,1,42724500
فروش,آنلاین,12188.0,1403,دی,1403/10/04,راضيه خان محمدي زرندي,فروشگاه هاي آنلاين,خرده فروشي آنلاين,تجارت خلاق هدف,Babyliss-2,بابليس پرو اتوي مو اليپسيس 3000 مدل BAB3000EPE مشکي,A+,0,1,56436030
فروش,آنلاین,12186.0,1403,دی,1403/10/04,راضيه خان محمدي زرندي,فروشگاه هاي آنلاين,خرده فروشي آنلاين,تجارت خلاق هدف,Babyliss-3,بابليس پرو اتوي مو اي پي تک 25 ميليمتري مدل BAB2654EPE,A+,0,1,22901445
فروش,آنلاین,12822.0,1403,دی,1403/10/17,راضيه خان محمدي زرندي,فروشگاه هاي آنلاين,خرده فروشي آنلاين,تجارت خلاق هدف,Babyliss-3,بابليس پرو اتوي مو اي پي تک 25 ميليمتري مدل BAB2654EPE,A+,0,1,22901445
فروش,آنلاین,12450.0,1403,دی,1403/10/08,راضيه خان محمدي زرندي,فروشگاه هاي آنلاين,خرده فروشي آنلاين,تجارت خلاق هدف,Babyliss-3,بابليس پرو حالت دهنده مو پرو بلو لايتنينگ مدل BAB2620E آبي,A+,0,1,20818665
فروش,آنلاین,12187.0,1403,دی,1403/10/04,راضيه خان محمدي زرندي,فروشگاه هاي آنلاين,خرده فروشي آنلاين,تجارت خلاق هدف,Babyliss-3,بابليس پرو حالت دهنده مو تيتانيومي تورمالين 32 ميليمتري 7000 وات مدل BAB2676TTE,A+,4372011,1,17488044
فروش,آنلاین,12103.0,1403,دی,1403/10/03,راضيه خان محمدي زرندي,فروشگاه هاي آنلاين,خرده فروشي آنلاين,تجارت خلاق هدف,Babyliss-2,بابليس پرو سشوار ونزيانو اچ کيو آيونيک 2200 وات مدل BAB6960IE,A+,4372924,1,39356321
فروش,آنلاین,12121.0,1403,دی,1403/10/04,راضيه خان محمدي زرندي,فروشگاه هاي آنلاين,خرده فروشي آنلاين,تجارت خلاق هدف,Babyliss-2,بابليس پرو سشوار ونزيانو اچ کيو آيونيک 2200 وات مدل BAB6960IE,A+,4372924,1,39356321
فروش,آنلاین,12595.0,1403,دی,1403/10/11,راضيه خان محمدي زرندي,فروشگاه هاي آنلاين,خرده فروشي آنلاين,تجارت خلاق هدف,Babyliss-2,بابليس پرو سشوار ونزيانو اچ کيو آيونيک 2200 وات مدل BAB6960IE,A+,0,1,43729245
فروش,آنلاین,13327.0,1403,دی,1403/10/30,راضيه خان محمدي زرندي,فروشگاه هاي آنلاين,خرده فروشي آنلاين,تجارت خلاق هدف,Babyliss-2,بابليس پرو سشوار ونزيانو اچ کيو آيونيک 2200 وات مدل BAB6960IE,A+,0,1,43729245
